,Reg_CAP,Reg_CAP_Other,Reg_NoSW,Reg_Other,Res,Unreg_CoR,Unreg_NoSW,Unreg_Other
1853,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1860,,,,18.0,,,,
1864,,,,,,,,
1868,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,10.0,,,
1875,,,,,,,,
1876,,,,,,15.0,,
1877,,,,,,,,
1878,,,,,,,26.0,
1879,,70.0,,,,,50.0,70.0
1880,,17.5,,,,50.0,44.0,
1881,60.0,,,,,,,
1882,,50.0,,,,,60.0,
1883,212.5,,,,,50.0,166.66666666666666,
1884,0.0,,,,,,,
1885,,,10.0,,,,,9.0
1886,,,,,,,,
1887,,,,,,,70.0,
1888,,,,,,,,
1889,,,,,,,22.0,
1890,14.5,,,,15.0,,91.8,
1891,,,,,,,11.0,
1892,,,,,,,,
1893,,,,,,,,121.0
1894,,,,,,,40.0,
1895,,,,,,,23.0,12.0
1896,15.0,,,,,,,
1897,,,300.0,,,,,
1898,,,0.0,,,,5.0,15.0
1899,,54.5,241.0,,25.0,,0.0,
1900,30.181818181818183,23.285714285714285,33.5,,34.0,71.25,48.10344827586207,71.5
1901,,,,,,,67.0,
1902,0.0,,,,20.0,,85.0,
1903,,0.0,,,0.0,20.0,164.0,
1904,,,,,173.0,,2.5,0.0
1905,28.5,35.0,,,149.0,,30.0,29.0
1906,7.0,,,,,,71.0,0.0
1907,32.666666666666664,,61.5,,30.0,380.0,8.5,126.0
1908,100.0,34.666666666666664,,,,10.0,82.66666666666667,
1909,160.0,40.0,,,,,5.0,
1910,83.0,27.375,100.0,,40.0,88.33333333333333,72.5,27.25
1911,0.0,52.4,,,,281.0,33.25,35.5
1912,136.0,139.0,,,0.0,25.0,68.83333333333333,40.0
1913,100.0,404.0,,,30.0,,184.0,
1914,20.0,148.2,650.0,,30.0,20.0,124.9375,54.5
1915,61.0,136.8,75.25,,40.0,97.66666666666667,148.0,185.0
1916,209.4,0.0,20.0,,45.0,,75.875,
1917,146.66666666666666,128.0,21.0,,,20.0,132.6,228.5
1918,37.666666666666664,15.0,,,,,104.5625,212.5
1919,96.85,57.925,45.666666666666664,,62.4,,104.34375,89.66666666666667
1920,64.4,97.0,133.8,30.0,35.0,,114.21428571428571,80.75
1921,111.75,80.75,88.5,,,,56.25,35.0
1922,152.0,204.75,0.0,,,,63.0,0.0
1923,200.0,45.0,17.0,,79.0,,127.5,111.3125
1924,48.5,6.25,470.0,,,43.9,37.75,69.65
1925,24.625,19.1,94.0,,90.0,,245.0909090909091,71.42857142857143
1926,100.6,167.8,149.66666666666666,,233.0,,74.88888888888889,
1927,260.0,3.0,85.4,,,212.0,106.11111111111111,181.25
1928,117.66666666666667,38.4,76.0,,74.8,0.0,174.72916666666666,96.33333333333333
1929,92.2,71.94285714285714,165.75,,64.205555555,174.0,105.70823529411764,167.25
1930,54.443548387096776,67.94382882891891,177.75384615384615,,92.22285714285714,121.48222222222223,110.71969696969697,113.59142857142857
1931,111.61351851777778,47.9138,29.19333333,,58.162636364,123.74666665000001,140.25,142.155
1932,92.58263227444445,40.54537598111111,23.8284920625,,62.98961111,57.66642855,96.40813186923077,114.71000000000001
1933,123.4353409090909,65.011361112,27.102500000000003,,44.15877777666666,158.0775,117.89,108.54
1934,48.006669071111105,103.86902777625,86.88370535749999,,99.45484126999999,200.56444445,150.6349166666667,89.4388888888889
1935,68.91291316529411,107.33990476214285,139.1025,96.0,87.26095238142857,119.04228571428573,110.4603804347826,94.02380952357143
1936,113.406979166875,133.06088541687498,119.88200000000002,400.0,45.43666666666667,182.26444443333332,120.70341463414634,134.72727272727272
1937,91.39860355238095,113.244729166875,100.33864795857143,32.0,116.63422222199999,125.32666666666667,149.86888198695652,75.91153846153847
1938,112.22226190619048,125.69732456157894,56.98847619285714,,61.065875,106.598,144.33277777777778,155.18454545454546
1939,97.97108974358974,123.50724206357145,89.80575,17.86,128.00339285750002,141.8,86.20032563088233,90.1564705882353
1940,118.46617216120876,93.45653370441559,133.58588681847826,515.0,134.68733870967745,152.19416666499998,125.08666619329111,114.47653935277776
1941,86.6450026196,139.32754024928568,83.24782642096773,252.74,131.60899999999998,118.34785715000001,106.53683071871286,109.45045634922222
