wellid,Measurements
312243110070101,2
312243110072901,1
312244110021601,60
312244110562701,1
312245109554701,4
312245110125701,12
312245110450301,2
312245110450302,1
312245110503701,1
312246110021401,8
312246110065601,4
312246110505801,4
312246111041601,2
312247109442801,4
312247110362401,3
312247110565401,1
312248109185901,2
312248109323801,33
312248110060301,9
312248110503001,13
312249109570701,10
312249110063801,1
312249110072101,17
312249110072301,2
312250110055901,9
312250110060101,1
312250110063901,46
312250110102401,1
312251110060701,1
312251110063801,11
312251110064401,3
312251110064501,1
312251110065201,1
312251110070101,1
312251110071801,2
312251110071802,2
312251110564101,3
312253110023801,1
312253110583101,23
312254110521001,2
312254110565401,1
312255110113301,14
312256110091801,3
312258109365701,1
312258110063001,1
312258110140901,1
312258110332001,4
312258110510901,15
312258110564101,1
312258110575601,1
312258110580101,6
312259109364801,3
312259110144401,1
312300110061901,1
312300110521001,8
312300110565201,10
312301111024801,23
312302109364801,3
312302110344001,1
312302110344101,1
312303109402001,8
312303110071701,3
312303110085601,1
312303110352001,1
312304110060701,16
312304110071601,3
312304110085601,9
312305110071801,1
312306109364201,1
312306110135601,6
312307110541801,1
312307110570101,1
312308109364901,2
312308110521801,8
312308110565601,9
312308110580601,25
312310110565801,1
312311110135301,1
312311111035301,4
312312109345001,4
312312109401901,2
312312110065801,8
312312110522401,9
312314110370501,17
312315110021201,5
312315110565801,4
312316110522701,69
312316110574801,35
312317110071601,5
312317110351601,21
312319109381401,1
312319110522301,6
312320109352501,4
312320110574301,3
312320110574302,3
312322110061601,1
312322110063101,1
312322110103501,2
312323110020901,7
312324110523801,1
312324111033701,1
312324111033801,3
312325109334601,3
312327110522501,11
312328109354001,1
312329110053101,4
312329110070101,1
312329110350501,1
312330109344601,3
312330110043601,1
312330110053601,7
312331109171601,2
312331110570601,6
312332110055601,4
312332110063801,1
312333109455901,3
312333110055501,2
312334109144601,2
312334109342601,4
312334110143401,6
312334111023401,11
312336110063001,1
312336110071001,1
312336110532201,1
312336110565701,1
312337109403501,3
312337110025401,2
312338109384401,5
312339109454401,3
312339110050001,3
312340109121601,21
312340109413501,5
312340109443901,1
312340110061901,4
312341109121501,14
312342109221701,1
312342110134601,5
312342110411701,2
312343109122402,3
312343109453401,1
312343110371901,2
312344110521001,3
312345110335401,4
312346109462301,2
312348109394701,15
312348110520601,1
312348110571101,1
312349109352501,2
312349110520601,1
312350109441501,1
312350110063001,1
312351109193501,2
312352110524201,2
312353110143301,5
312353110522401,12
312353110525101,33
312353110531901,1
312353110571601,1
312354110070101,1
312356109394701,5
312357110055901,4
312357110073901,1
312357110525801,1
312359109374401,12
312359110524801,39
312359110570001,1
312360110094501,1
312360110532901,3
312400110532901,9
312402109354201,1
312402109432901,3
312402110063701,3
312402110530701,2
312403109403401,4
312403110072401,12
312403111053201,5
312404109370701,1
312404109371301,1
312404110094901,2
312405109361501,2
312405109394801,2
312405110103101,18
312406110055201,8
312406110085201,5
312407109361301,4
312407109400501,4
312407110580301,5
312407111145501,1
312410110090501,4
312411109353601,3
312411110533601,1
312412109270001,4
312412109324901,2
312412110532501,6
312413110532801,4
312413110571901,5
312414110571101,1
312415109092201,2
312415109092401,1
312415109350001,4
312415110065001,1
312415110065101,1
312415110352101,27
312417110074801,2
312417110351401,28
312417110571501,1
312418109325001,1
312418110055801,2
312418110252001,1
312418110532801,2
312418110593701,3
312419109383801,4
312419110251901,1
312419110533301,4
312419110570001,1
312420109281901,5
312420110065001,1
312420110095001,1
312421110041001,28
312421110055901,2
312421110064501,6
312421110535501,50
312423109454401,3
312423110063701,1
312423110574901,25
312425110534301,2
312426110540201,13
312427109204001,1
312427109334001,1
312427109354501,1
312427109354901,1
312427110540401,2
312428110020801,2
312428110251701,2
312428110540801,1
312428110572801,1
312429109323701,1
312429110065301,1
312429110065401,1
312429110065501,1
312429110065601,1
312430109380201,5
312431109400401,3
312432109384501,2
312433109344901,54
312433109384601,11
312434110040101,3
312434110093501,3
312437110514201,2
312438109395201,3
312438110065401,28
312440110125001,1
312441109381501,1
312442109233301,1
312442110073101,1
312443110063001,1
312443110065801,1
312443110573001,8
312444111141201,1
312445109374901,5
312446109354601,4
312446109375001,18
312448109450001,48
312448110010801,2
312448110572001,38
312449110055901,1
312450110590201,1
312451110572301,1
312453110544001,1
312453111142001,1
312454109393201,2
312454110073701,2
312457110340101,3
312458109384201,16
312458110541201,3
312459110053701,2
312501109242201,3
312501110063301,1
312501110074701,3
312501110142901,3
312502109242301,2
312502110055301,9
312502110060701,6
312504110144201,2
312505110063901,16
312506109344601,1
312507110542301,1
312507110571101,1
312508110055301,5
312508110545501,1
312509110492501,3
312509110541501,1
312509110542801,4
312510110142901,2
312510110143901,1
312513110063801,3
312513110505401,26
312513110580501,2
312514110063001,2
312514110063801,1
312514110151201,1
312515110062801,9
312515110141301,2
312516110544901,1
312517110573301,5
312519109333801,3
312519109343901,1
312519110064101,3
312520110095501,1
312520110582501,1
312521109380101,1
312521110073601,4
312523110252201,2
312523110542801,30
312524110542601,3
312525110574001,1
312526109395701,3
312526110054501,4
312526110421601,3
312527109395701,53
312527110143401,5
312527110542701,4
312527110574301,3
312528109132701,4
312528109133101,8
312528109272501,4
312529110544901,1
312529110573601,24
312529111003101,3
312530109252601,1
312530110142401,1
312530110550301,2
312532110573901,5
312532110574001,1
312533110555701,1
312534110324201,1
312534110550301,2
312535109404601,1
312538110144201,7
312538110351601,4
312539109383501,1
312539109414901,4
312539111031601,3
312541111031701,1
312544111212401,1
312545109333601,1
312545110552801,44
312546110090901,4
312546110562201,1
312547110063701,1
312547111211401,3
312548109331001,1
312548110063001,2
312548110064501,1
312548110142401,1
312548110351501,1
312548110551401,11
312548110551601,4
312550109290401,1
312550109330901,5
312551110145001,1
312551110554701,42
312552110365601,14
312553109331101,3
312553110054401,7
312554110054401,2
312554110064701,31
312555110061401,4
312555110074301,7
312559110072001,1
312559111030301,1
312559111030401,1
312600109195701,1
312600110120001,3
312600110241701,2
312600111200301,2
312601110143501,9
312601110351401,1
312601110504601,3
312605110132501,4
312605110135501,1
312606110113501,4
312607110082501,4
312607110145301,2
312609109330801,2
312610109323901,4
312610109330901,2
312610109354901,5
312610109361801,3
312610109372801,1
312611109373801,1
312611110345301,2
312612109364801,3
312612110103201,1
312612110143601,1
312613109382401,1
312613110350601,4
312614109361301,11
312614110091901,43
312614110332101,2
312614110350501,1
312615109092101,2
312615109304201,36
312616109061501,1
312616109360001,1
312617109375001,1
312617110080401,4
312618110500901,5
312619109314501,5
312619110084801,21
312620110055101,3
312620110055501,5
312620110093101,19
312620110101001,2
312620110104901,2
312620110132901,21
312620110153601,1
312621110125901,11
312621110150101,1
312622109310901,4
312622109312201,1
312623109281001,1
312623110100501,1
312623110142601,4
312623110152901,3
312625109373501,2
312627109162001,2
312627110110501,1
312627110134201,2
312627110151701,1
312627110153101,1
312628110574801,2
312630110055801,1
312630110062401,12
312630110085301,1
312630110575301,24
312631110103401,2
312631110112001,2
312633110134501,3
312633110142901,7
312633110151501,4
312633111023301,18
312636109384601,1
312636110372601,1
312637109492901,15
312637109493601,1
312638109355901,31
312639110142901,8
312639110350801,1
312640110085301,6
312640110091801,1
312641110060001,6
312641110152301,1
312642109412001,2
312642110063701,6
312642110063702,6
312642110085301,4
312645109391601,3
312645109435001,2
312647109483901,2
312647110364101,16
312647110495601,4
312647110495701,2
312649110265001,2
312650110350701,2
312651110373401,2
312651110575601,2
312652109433601,1
312652110371401,2
312653110133201,1
312654109301401,4
312656109390901,10
312656109452901,3
312656110380301,3
312656111142801,5
312657109360001,4
312658109360401,5
312658109411701,15
312658109412901,2
312658109452501,1
312658110155801,1
312659110110501,1
312659110140801,1
312659110140803,1
312659110140804,1
312700109444801,1
312700110575901,2
312701110574301,3
312701110574401,14
312702109443501,4
312702109443801,3
312703109373201,19
312703109420401,1
312703109435201,3
312704109380001,9
312704109380501,2
312704109443301,2
312705109394601,1
312705109451401,3
312705110092201,2
312705110574101,2
312706109393501,1
312706110084801,1
312707109402101,2
312707110135301,1
312707110434301,3
312708109421101,2
312708110155801,1
312709109414901,3
312709109442001,1
312710109433601,2
312710109561201,3
312712109393001,1
312712109394301,1
312712109435001,4
312712110152101,45
312713110052101,1
312713110115101,4
312713110152201,26
312713110155301,5
312713110160101,1
312713110500301,4
312714110143001,3
312717109285001,1
312717109285201,2
312717109362601,3
312717109483001,1
312717110133101,1
312718109285101,5
312718110580001,2
312719110581401,4
312720110032901,3
312720110132501,2
312720110153601,1
312722109272401,4
312722109414901,1
312722109462501,2
312722110154601,2
312722110351501,7
312722110353601,4
312722110365401,3
312723110152601,2
312723110152701,1
312724109392701,3
312724109433401,1
312724110155301,1
312724110503601,1
312724110580801,2
312725109444401,2
312725110162301,5
312725110580901,1
312725111144701,4
312726109444501,1
312727110580601,7
312728110580501,6
312730109113701,3
312730109371301,2
312730109393601,1
312730109451301,3
312730110112301,2
312730110142101,1
312730110163001,4
312730110585701,1
312731109385101,1
312731109444401,1
312731110163001,3
312732109400201,1
312732109451301,1
312732110130601,5
312733110514401,1
312734109285501,1
312734110052101,1
312735109385001,1
312735110154201,1
312735110581601,9
312736109394501,1
312737109385001,10
312737110152701,4
312737110153601,1
312737110154401,1
312737110504301,2
312737110581501,6
312737110582601,1
312738109401601,2
312738109495701,3
312738109495702,1
312739110031201,9
312739110335501,2
312740110155501,1
312740110173201,1
312740110581301,24
312742110082101,2
312743109355401,4
312743109403201,1
312743110153801,2
312743111201701,3
312744109451101,2
312744110131601,2
312744110153601,1
312744110172101,4
312745110034601,2
312745110345801,27
312746109472301,2
312746110154301,1
312747109065501,3
312748109225301,2
312749109230201,2
312749109400601,1
312749109445801,1
312749110471501,1
312750110152901,2
312753109445201,2
312753110163601,4
312754110143501,1
312754110374201,3
312755110104901,5
312756109064101,2
312756110415201,1
312756110584801,67
312757109111901,2
312757110582601,2
312757110592601,4
312758109413201,1
312758110143001,6
312759109384901,1
312759109410401,14
312759109410501,1
312759109410901,2
312759110123001,5
312759110153001,2
312759110172501,8
312800109321701,3
312800109423501,13
312801109414901,4
312802110042601,20
312802110150501,4
312803109444501,42
312803110103201,1
312803110103501,1
312803110165801,23
312803110422601,2
312804109063301,2
312804109063401,2
312804110113701,4
312804110500201,3
312805109411701,2
312805110102501,3
312805110150801,5
312805110165901,4
312805110585201,8
312806109400701,1
312807110583701,5
312811109443201,1
312811110165001,5
312812109440001,5
312812110350701,3
312813109403501,1
312813110163101,3
312814109411801,1
312815109435201,1
312815110504501,2
312815110595401,6
312817110504001,1
312818110594501,45
312819110171001,1
312819111384801,1
312821109435001,1
312821110172101,1
312822109273401,4
312822110532201,1
312823109052901,2
312823110572901,1
312823110573501,26
312823111213501,4
312825109234701,2
312825109403501,1
312825109420401,1
312825110093601,2
312825110172101,9
312826109400501,10
312826109403401,1
312826109413201,2
312826110100501,5
312826111043601,4
312826111305201,3
312827110502801,2
312827111303301,49
312831110180201,3
312831111162401,3
312832110114901,22
312832110594501,6
312833109444501,4
312835110152201,2
312836110122001,5
312836110125001,2
312837110355301,2
312838110152101,8
312838110165601,6
312838111235801,3
312839109261901,4
312839110101001,3
312840109262101,1
312840109584501,1
312840110374601,1
312840111000301,6
312842109413101,1
312844109415401,13
312845110350201,2
312846110374601,1
312847110485101,1
312848110384801,31
312848110573201,53
312849109381801,2
312849111104001,6
312850110145201,1
312850110162901,1
312851109410501,1
312852109452501,2
312852110155201,28
312852110593001,1
312853109384801,1
312853109420401,4
312853110590801,2
312854109324701,3
312854109423801,1
312854110485401,8
312854111273601,2
312856109315701,4
312856109400501,2
312856110163801,8
312856110170201,6
312856111231501,3
312857109434901,3
312857110144401,5
312858109234401,3
312858109244301,3
312858109325001,2
312858110100501,1
312858110404201,3
312859110111401,3
312859110404301,1
312860111323201,31
312900110490701,1
312902109411001,1
312902109422001,1
312903110111501,2
312903111194901,2
312904110194801,1
312906109415601,2
312906109420401,3
312906109591101,1
312908109415601,1
312908109420501,1
312909109452101,2
312910109320301,2
312910109343601,4
312910110593601,6
312910110593701,31
312912109320101,12
312912110165801,3
312913109355501,1
312913110151001,3
312913110341401,1
312913111000001,2
312914109444401,2
312915109245001,1
312916109410901,1
