wellid,YEAR,AF Pumped
321259110473001,1986,56.0
321259110473001,1987,60.4
321259110473001,1988,63.9
321259110473001,1989,54.3
321259110473001,1990,41.37
321259110473001,1991,45.1
321259110473001,1992,34.46
321259110473001,1993,17.56
321259110473001,1994,17.94
321259110473001,1995,14.07
321259110473001,1996,12.63
321259110473001,1997,15.95
321259110473001,1998,12.21
321259110473001,1999,30.221
321259110473001,2000,41.93
321259110473001,2001,46.63
321259110473001,2002,39.038
321259110473001,2003,28.286
321259110473001,2004,21.67
321259110473001,2005,43.2
321259110473001,2006,37.45
321259110473001,2007,37.597
321259110473001,2008,52.57
321259110473001,2009,34.99
321259110473001,2010,15.43
321259110473001,2011,32.085
321259110473001,2012,20.475
321259110473001,2013,26.880000000000003
321259110473001,2014,22.82
321259110473001,2015,25.630000000000003
321259110473001,2016,26.03
321259110473001,2017,28.57
321259110473001,2018,28.88
321303110474601,1984,92.42
321303110474601,1986,52.0
321303110474601,1987,50.5
321303110474601,1988,66.7
321303110474601,1989,76.2
321303110474601,1990,36.1
321303110474601,1991,30.7
321303110474601,1992,43.86
321303110474601,1993,48.37
321303110474601,1994,46.59
321303110474601,1995,51.06
321303110474601,1996,53.69
321303110474601,1997,47.4
321303110474601,1998,48.21
321303110474601,1999,32.084
321303110474601,2000,23.49
321303110474601,2001,24.04
321303110474601,2002,35.796
321303110474601,2003,45.881
321303110474601,2004,51.26
321303110474601,2005,35.23
321303110474601,2006,36.14
321303110474601,2007,30.919
321303110474601,2008,15.93
321303110474601,2009,39.8
321303110474601,2010,56.5
321303110474601,2011,8.09
321303110474601,2012,28.65
321303110474601,2013,13.6
321303110474601,2014,21.2
321303110474601,2015,11.57
321303110474601,2016,18.88
321303110474601,2017,15.43
321303110474601,2018,10.37
321404110524401,1984,33.7
321404110524401,1985,26.2
321404110524401,1986,14.7
321404110524401,1987,10.0
321404110524401,1988,15.4
321404110524401,1990,18.4
321404110524401,1991,19.4
321404110524401,1992,23.32
321404110524401,1993,22.16
321404110524401,1994,36.53
321404110524401,1995,33.64
321404110524401,1996,23.59
321404110524401,1997,29.62
321404110524401,1999,3.92
321404110524401,2000,26.42
321404110524401,2001,24.46
321404110524401,2002,24.24
321404110524401,2003,18.995
321404110524401,2004,34.888000000000005
321404110524401,2005,19.84
321404110524401,2006,17.362000000000002
321404110524401,2007,21.161
321404110524401,2008,25.309
321404110524401,2017,24.82
321404110524401,2018,19.13
321502110593201,1984,60.1
321502110593201,1985,26.03
321502110593201,1986,88.07
321502110593201,1987,37.15
321502110593201,1988,73.91
321502110593201,1989,93.3
321502110593201,1990,64.9
321502110593201,1991,10.47
321506110485301,1984,8.2
321506110485301,1985,8.355
321506110485301,1986,5.705
321506110485301,1987,5.4
321506110485301,1988,6.25
321506110485301,1989,6.495
321506110485301,1990,5.025
321506110485301,1991,5.645
321506110485301,1992,5.29
321506110485301,1993,5.005
321506110485301,1994,1.0
321506110485301,1995,1.0
321506110485301,1996,1.0
321506110485301,1997,1.0
321506110485301,1998,14.0
321506110485301,1999,1.0
321506110485301,2000,1.0
321506110485301,2001,10.0
321506110485301,2002,12.0
321506110485301,2003,1.0
321506110485301,2004,1.0
321506110485301,2005,1.0
321506110485301,2007,1.0
321506110485301,2008,1.0
321506110485301,2009,1.0
321506110485301,2010,1.0
321506110485301,2011,1.0
321506110485301,2012,1.0
321506110485301,2013,1.0
321506110485301,2014,1.0
321506110485301,2015,1.0
321506110485301,2016,1.0
321506110485301,2017,1.0
321506110485301,2018,1.0
321506110485301,2019,1.0
321509110593101,1984,0.5
321509110593101,1985,2.18
321509110593101,1986,71.08
321509110593101,1987,27.76
321509110593101,1988,27.8
321509110593101,1989,1.4
321509110593101,1991,104.3
321509110593101,1992,6.98
321509110593101,2001,59.3
321509110593101,2002,40.9
321509110593101,2003,16.3
321509110593101,2004,6.79
321509110593101,2005,20.75
321509110593101,2006,69.34
321509110593101,2007,8.93
321509110593101,2008,8.99
321509110593101,2009,3.93
321509110593101,2010,7.74
321509110593101,2011,4.4
321509110593101,2012,4.21
321509110593101,2013,546.56
321509110593101,2014,0.67
321509110593101,2015,0.88
321509110593101,2016,0.21
321509110593101,2017,1.12
321509110593101,2018,1.4
321509110593101,2019,0.93
321512110593701,1984,16.85
321512110593701,1985,44.435
321512110593701,1986,1.01
321512110593701,1987,0.04
321512110593701,1988,0.085
321512110593701,1989,0.3
321512110593701,1990,0.1
321512110593701,1991,0.065
321512110593701,1992,1.41
321512110593701,1993,1.0
321512110593701,1995,4.24
321512110593701,1996,1.58
321512110593701,1997,2.03
321512110593701,1998,0.08
321512110593701,2000,1.52
321512110593701,2013,0.67
321512110593701,2015,0.003
321512110593701,2018,0.746
321512110593701,2019,0.4970000000000001
321514110515901,1984,0.1
321514110515901,1985,26.0
321514110515901,1986,41.0
321514110515901,1987,46.0
321514110515901,1988,62.0
321514110515901,1989,64.0
321514110515901,1990,12.3
321514110515901,1991,49.58
321525110521001,1984,72.0
321525110521001,1985,131.0
321525110521001,1986,101.0
321525110521001,1987,22.0
321525110521001,1988,27.0
321525110521001,1989,12.0
321525110521001,1990,11.5
321525110521001,1991,1.82
321531110574601,1985,11.7
321531110574601,1986,29.91
321531110574601,1987,13.6
321531110574601,1988,13.25
321531110574601,1989,14.19
321531110574601,1990,4.2
321531110574601,1994,13.28
321531110574601,1995,16.67
321531110574601,1996,16.47
321531110574601,1997,13.77
321531110574601,1998,14.65
321531110574601,1999,14.85
321531110574601,2000,11.39
321531110574601,2001,8.7
321531110574601,2002,4.55
321531110574601,2003,4.3
321531110574601,2004,11.53
321531110574601,2005,15.21
321531110574601,2006,15.93
321531110574601,2007,5.62
321531110574601,2008,3.77
321531110574601,2009,5.51
321531110574601,2010,1.08
